=== [10] COMPORTAMIENTO (14 eventos) ===
  N001 | ID:101 | Acoso  [impacto=2.25]
  N002 | ID:102 | Agresión a objeto inanimado  [impacto=0.2]
  N003 | ID:103 | Agresión física  [impacto=0.95]
  N004 | ID:104 | Agresión sexual  [impacto=2.15]
  N005 | ID:105 | Agresión verbal  [impacto=0.6]
  N006 | ID:106 | Amenaza de muerte  [impacto=0.6]
  N007 | ID:107 | Arriesgado/imprudente/ peligroso  [impacto=0.95]
  N008 | ID:108 | Autolesión deliberada/ suicidio  [impacto=1.95]
  N009 | ID:109 | Desconsiderado/grosero/ hostil/inapropiado  [impacto=0.6]
  N010 | ID:1010 | Discriminación/prejuicio  [impacto=0.6]
  N011 | ID:1011 | Incumplidor/no colaborador/obstructivo  [impacto=1.35]
  N012 | ID:1012 | Problema de uso/abuso de sustancias  [impacto=1.35]
  N013 | ID:1013 | Vagabundeo/fugas  [impacto=0.95]
  N014 | ID:1014 | Abandono de puesto de trabajo  [impacto=3.25]

=== [20] CUIDADO DEL PACIENTE (19 eventos) ===
  N015 | ID:201 | Autoextubación  [impacto=0.95]
  N016 | ID:202 | Caída de paciente  [impacto=1.35]
  N017 | ID:203 | Desplazamiento de dispositivos invasivos  [impacto=2.05]
  N018 | ID:204 | Eritema del pañal  [impacto=0.95]
  N019 | ID:205 | Extubación accidental  [impacto=0.95]
  N020 | ID:206 | Flebitis  [impacto=0.55]
  N021 | ID:207 | Incumplimiento de normas de bioseguridad  [impacto=2.05]
  N022 | ID:208 | Lesión por esparadrapo o dispositivo autoadhesivo  [impacto=0.95]
  N023 | ID:209 | Lesión ocular  [impacto=5.7]
  N024 | ID:2010 | Lesión por oxímetro de pulso  [impacto=0.95]
  N025 | ID:2011 | Lesiones de piel  [impacto=0.95]
  N026 | ID:2012 | Lesiones por prong nasal  [impacto=2.45]
  N027 | ID:2014 | Paciente sin brazalete de identificación/ en mal estado/ no legible/datos erróneos  [impacto=1.65]
  N028 | ID:2015 | Quemaduras  [impacto=4.5]
  N029 | ID:2016 | UPP I  [impacto=0.95]
  N030 | ID:2017 | UPP II  [impacto=2.65]
  N031 | ID:2018 | UPP III  [impacto=4.5]
  N032 | ID:2019 | UPP IV  [impacto=6.75]
